Symbol,Year,Year End,Share Capital,Face Value,Shares,Equity,Assets,Sales,Interest Ex.,EBT,Net Income,EPS,Dividend %
ABL,2017,  2017-12-31,  11450.74,  10,  1145.07,  78643.3,  1245712.11,  74580.56,  0,  20878.7,  12733.64,  11.12,  70
ABL,2016,  2016-12-31,  11450.74,  10,  1145.07,  74474.47,  1069614.41,  75816.51,  0,  23831.22,  14427.05,  12.6,  72.5
ABL,2015,  2015-12-31,  11450.74,  10,  1145.07,  67968.65,  991665.51,  81871.37,  0,  25503.38,  15120.31,  13.2,  70
ABL,2014,  2014-12-31,  11450.74,  10,  1145.07,  62053.78,  842269.13,  79737.25,  0,  22201.76,  15015.09,  13.11,  65
ABL,2013,  2013-12-31,  10409.76,  10,  1040.98,  53703.49,  734195.94,  63824.76,  0,  14760.9,  14643.36,  14.07,  52.5
ABL,2012,  2012-12-31,  9463.42,  10,  946.34,  42928.08,  631915.5,  63296.23,  0,  15870.35,  11675.81,  12.34,  65
ABL,2011,  2011-12-31,  8603.11,  10,  860.31,  37620.36,  515698.94,  58764.09,  0,  15108.48,  10139.68,  11.79,  50
ABL,2010,  2010-12-31,  7821.01,  10,  782.1,  31166.45,  449931.53,  50664.48,  0,  12343.11,  8225.33,  10.52,  40
ABL,2009,  2009-12-31,  7110.01,  10,  711,  25891.28,  418374.34,  47079.54,  0,  10536.12,  7122.17,  10.02,  40
AKBL,2017,  2017-12-31,  12602.6,  10,  1260.26,  27400.9,  656708.37,  42522.7,  0,  8491.8,  5267.89,  4.18,  10
AKBL,2016,  2016-12-31,  12602.6,  10,  1260.26,  25357.49,  619139.19,  42618.67,  0,  8476.95,  5220.64,  4.14,  15
AKBL,2015,  2015-12-31,  12602.6,  10,  1260.26,  21811.8,  535866.71,  43281.68,  0,  8431.7,  5043.42,  4,  22.5
AKBL,2014,  2014-12-31,  12602.6,  10,  1260.26,  19288.56,  447082.54,  39921.42,  0,  5781.41,  4014.93,  3.19,  20
AKBL,2013,  2013-12-31,  12602.6,  10,  1260.26,  16633.04,  394827.5,  31558.95,  0,  -8440.5,  -5479.9,  -4.35,  0
AKBL,2012,  2012-12-31,  8130.71,  10,  813.07,  17677.42,  353055.62,  36519.55,  0,  1729.73,  1255.36,  1.54,  0
AKBL,2011,  2011-12-31,  7070.18,  10,  707.02,  16508.78,  343756.31,  35669.27,  0,  2412.75,  1627.7,  2.3,  0
AKBL,2010,  2010-12-31,  6427.44,  10,  642.74,  14820.58,  314744.56,  30129.21,  0,  1273.14,  943.18,  1.47,  0
AKBL,2009,  2009-12-31,  5073.47,  10,  507.35,  13142.69,  254327.45,  25216.46,  0,  1642.24,  1107.79,  2.18,  0
